,0
Masego,"Micah Davis (born June 8, 1993), better known by his stage name Masego, is a Jamaican-American musician with South African roots. Masego is an international, contemporary genre bending entertainer who refers to his own music style as ""TrapHouseJazz"" or Emotion. His collaborative record “Tadow” has amassed over 47 million views on Youtube. His record Navajo, first premiered by Berlin platform “Colors” has been streamed over 20 million times, triggering a worldwide sold out tour.  <a href=""https://www.last.fm/music/masego"">Read more on Last.fm</a>"
PUBLIC,"PUBLIC is a three piece indie pop group from Cincinatti, Ohio who crafts charming, dance infused, pop songs. The group consists of  John Vaughan, Ben Lapps, and Matt Alvarado.  <a href=""https://www.last.fm/music/Public"">Read more on Last.fm</a>"
Sabrina Claudio,"Sabrina Claudio is an R&B-rooted singer/songwriter who favors ballads that are low-key and aching in nature. As a youngster, she first soaked up the dance music she heard in her native  Miami, Florida  and was eventually drawn to pop-oriented contemporary R&B like Mariah Carey and Destiny's Child. Her 1st major steps as a recording artist were made in  2016, when she appeared on the songs by Duckwrth and The Classmatez, and uploading a 7-track EP called ""Confidently Lost"". <a href=""https://www.last.fm/music/Sabrina+Claudio"">Read more on Last.fm</a>"
Two Door Cinema Club,"Two Door Cinema Club is a Bangor and Donaghadee, Northern Ireland, UK, electropop / alternative band, formed 2007, consisting of Alex Trimble (vocals, guitar), Kevin Baird (bass, vocals), Sam Halliday (guitar, vocals) and, live only, Benjamin Thompson (drums).  The band has released three albums: ""Tourist History"" (2010), ""Beacon"" (2012) and ""Gameshow"" (2016).

The band's name resulted from Halliday's mispronunciation of the local cinema's name, Tudor Cinema. <a href=""https://www.last.fm/music/Two+Door+Cinema+Club"">Read more on Last.fm</a>"
WALK THE MOON,"They are several artists named ""Walk the Moon"";

1) ""Walk the Moon"" is an indie rock band that formed in Cincinnati, Ohio in 2008. The band consists of Nicholas Petricca (vocals, keyboards), Kevin Ray (bass, vocals), Eli Maiman (guitar, vocals) and Sean Waugaman (drums, vocals). The band has released four albums, ""I Want! I Want!"" (2010), ""Walk the Moon"" (2012), ""Talking is Hard"" (2014), and ""What if Nothing"" (2017). The band's single, ""Anna Sun"", peaked at #10 on the Billboard Alternative Songs chart in 2012. <a href=""https://www.last.fm/music/Walk+the+Moon"">Read more on Last.fm</a>"
Angus & Julia Stone,"Angus & Julia Stone are an Australian acoustic folk-pop duo consisting of siblings Julia Stone and Angus Stone from Sydney, New South Wales, Australia. Their decision to collaborate was taken at the beginning of 2006. Prior to that, both had performed as solo artists at open mic nights but utilised the other as a backing partner.  Ultimately they came up with the same idea, “Why don’t we play together? It kind of made a lot of sense”. In terms of composing the material <a href=""https://www.last.fm/music/Angus+&+Julia+Stone"">Read more on Last.fm</a>"
Arcade Fire,"Arcade Fire is an indie rock band formed in Montreal, Quebec, Canada in 2001. The band consists of Win Butler (vocals, guitar, piano), Régine Chassagne (vocals, accordion, keyboards, hurdy gurdy, drums), Richard Reed Parry (bass, guitar), Will Butler (keyboards, guitar), Tim Kingsbury (bass), and Jeremy Gara (drums). Montreal percussionist Dane Mills performed on the EP and in early live shows.  The touring band includes horn players and violinists. <a href=""https://www.last.fm/music/Arcade+Fire"">Read more on Last.fm</a>"
Audioslave,"Audioslave was an American hard rock supergroup that formed in Los Angeles, CA in 2001. It consisted of Soundgarden frontman and rhythm guitarist Chris Cornell and the former instrumentalists of Rage Against the Machine: Tom Morello (lead guitar), Tim Commerford (bass and backing vocals) and Brad Wilk (drums). 

Audioslave released three successful albums, received three Grammy nominations, sold more than eight million records worldwide, and became the first American rock band to perform an open-air concert in Cuba. <a href=""https://www.last.fm/music/Audioslave"">Read more on Last.fm</a>"
Ben Howard,"Ben Howard (born 24 April 1987) is an English singer-songwriter, born in London. He moved to Totnes, Devon, in his teens. Howard's musically-inclined parents exposed him at a young age to their favourite records from singer-songwriter artists such as Bob Dylan, Nina Simone and John Martyn.  Howard began writing his own songs and after a short spell studying journalism, he decided in 2009 at the age of 21 to become a full-time musician. 

After building up a reputation with his gigs across the UK <a href=""https://www.last.fm/music/Ben+Howard"">Read more on Last.fm</a>"
Foals,"Foals are a rock band which formed in Oxford, England in 2005.  The band consists of Yannis Philippakis (vocals, guitar), Jimmy Smith (guitar), Edwin Congreave (keyboards) and Jack Bevan (drums). The band has released five albums: ""Antidotes"" (2008), ""Total Life Forever"" (2010), ""Holy Fire"" (2013), ""What Went Down"" (2015), and ""Everything Not Saved Will Be Lost, Pt. 1"" (2019). In January 2018, it was announced that Walter Gervers (bass) was leaving the band. <a href=""https://www.last.fm/music/Foals"">Read more on Last.fm</a>"
Grouplove,"Grouplove is an indie pop band which formed in 2009 in Los Angeles, California, United States. The band consists of Christian Zucconi (vocals, guitar), Hannah Hooper (vocals, keyboards), Andrew Wessen (vocals, guitar), Sean Gadd (bass, vocals), and Ryan Rabin (drums). The band released their debut album, Never Trust a Happy Song, in September 2011, which was followed by Spreading Rumours, released September 2013. Both albums were produced by the band's drummer Ryan Rabin, who is the son of former Yes guitarist and film composer Trevor Rabin. <a href=""https://www.last.fm/music/Grouplove"">Read more on Last.fm</a>"
James Blake,"James Blake (born 26 September 1988) is a Grammy-nominated electronic musician and singer-songwriter from London, England, United Kingdom.  Blake is primarily considered a dubstep producer and is frequently heralded as a leading figure in the ""post-dubstep"" community, but he is also noted for his prominent soul influences.  Blake was nominated the Critic's Choice award by the 2011 BRIT Awards and the Sound of 2011 award by the BBC, and won second place in the latter. <a href=""https://www.last.fm/music/James+Blake"">Read more on Last.fm</a>"
Megadeth,"Megadeth is an American thrash metal band led by founder, frontman, guitarist, and songwriter Dave Mustaine. Formed in 1983 Los Angeles, California with bass player Dave Ellefson following Mustaine's departure from Metallica, the band has since released fifteen studio albums, three live albums, five compilation albums, two extended plays, thirty-four singles, eight video albums, and thirty-two music videos. Megadeth has been nominated for twelve Grammys in their career, with their first win coming for ""Dystopia"" in 2017. <a href=""https://www.last.fm/music/Megadeth"">Read more on Last.fm</a>"
Mura Masa,"Alex Crossan (born  5 April 1996), known by the stage name Mura Masa, is UK-based beat-slayer heart-breaker, showcases his minimalist, yet effective approach to UK trap music by combining the energy of electronic production and club culture with the rustic and organic sounds and timbres of traditional sample beatmaking. He manages to create soundscapes that are fresh and unique. His moniker is inspired by the Japanese legend of the sword smith, Mura Masa. 
 <a href=""https://www.last.fm/music/Mura+Masa"">Read more on Last.fm</a>"
Pantera,"Pantera (/pænˈtɛrə/) was an American heavy metal band from Arlington, Texas. The group was formed in 1981 by the Abbott brothers – drummer Vinnie Paul and guitarist Dimebag Darrell – along with lead vocalist Terry Glaze. Bassist Rex Brown joined the band the following year, replacing Tommy D. Bradford, who was the unofficial original. Having started as a glam metal band, Pantera released four albums during the 1980s. Looking for a new and heavier sound <a href=""https://www.last.fm/music/Pantera"">Read more on Last.fm</a>"
The Head and the Heart,"The Head and the Heart is a folk band which formed in 2009 in Seattle, Washington, United States. The band consists of Josiah Johnson (vocals, guitar), Jonathan Russell (vocals, guitar), Charity Rose Thielen (violin, vocals), Chris Zasche (bass), Kenny Hensley (keyboards) and Tyler Williams (drums).

Composed primarily of transplants to the Seattle area, The Head and the Heart write and play songs that speak to the newness of a fresh start, of the ghosts left behind <a href=""https://www.last.fm/music/The+Head+and+the+Heart"">Read more on Last.fm</a>"
The Kooks,"British indie rock band - formed in Brighton, England, United Kingdom in 2004. The band currently consists of  Luke Pritchard (vocals, guitar), Hugh Harris (guitar), and Alexis Nunez (drums). They have released five studio albums; their 2006 debut Inside In/Inside Out peaked at number two on the UK Albums Chart, and their 2008 follow up Konk reached number one. The Junk Of The Heart (Happy) Songfacts reports that Pritchard found himself writing lyrics <a href=""https://www.last.fm/music/The+Kooks"">Read more on Last.fm</a>"
The xx,"The xx are a Mercury Prize-winning trio formed in 2005 in London, United Kingdom and signed to Young Turks. The band members are Romy Madley Croft (vocals, lead guitar), Oliver Sim (vocals, bass guitar), and Jamie Smith, known as Jamie xx (drums, keyboards, synthesizer, MPC sampler). Second guitarist and keyboardist Baria Qureshi was dropped from the band mid-tour in 2009. The reasons behind her ousting remain unclear.

On 17 August 2009, the group released their debut album xx on Young Turks label. <a href=""https://www.last.fm/music/The+xx"">Read more on Last.fm</a>"
A R I Z O N A,"Arizona (stylized as A R I Z O N A) is an American rock and electropop band from New Jersey currently signed to Atlantic Records. The band's debut studio album GALLERY was released in May 2017, peaking at #4 on Top Heatseekers, #24 on U.S. Alternative, and #143 on the Billboard 200 <a href=""https://www.last.fm/music/A+R+I+Z+O+N+A"">Read more on Last.fm</a>"
AlunaGeorge,"AlunaGeorge are an English electronic music duo from London, consisting of Aluna Francis (vocals and songwriting) and George Reid (production and instrumentation).The duo first met in June 2009, when Reid remixed Francis' band My Toys Like Me's track ""Sweetheart""

A lot of bands meet as kids at school. Others come together after an over-enthusiastic conversation about music at some random party. Aluna Francis and George Reid however, met through the internet. <a href=""https://www.last.fm/music/AlunaGeorge"">Read more on Last.fm</a>"
